#YY  MM DD hh mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr  mo dy hr mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2019 04 16 21 06,100,2.1,4.6,MM,MM,MM,MM,1018.9,25,24.8,MM,MM,MM,MM
2019 04 16 21 12,100,3.6,5.7,MM,MM,MM,MM,1018.8,25.3,24.8,MM,MM,MM,MM
2019 04 16 21 18,100,2.1,4.1,MM,MM,MM,MM,1018.8,25.3,24.8,MM,MM,MM,MM
2019 04 16 21 24,100,2.6,5.1,MM,MM,MM,MM,1018.8,25.4,24.8,MM,MM,MM,MM
2019 04 16 21 30,100,3.6,5.7,MM,MM,MM,MM,1018.8,25.6,24.8,MM,MM,MM,MM
2019 04 16 21 36,110,4.6,6.7,MM,MM,MM,MM,1018.7,25.7,24.8,MM,MM,MM,MM
2019 04 16 21 42,100,3.6,6.2,MM,MM,MM,MM,1018.7,25.9,24.9,MM,MM,MM,MM
2019 04 16 21 48,100,3.6,6.2,MM,MM,MM,MM,1018.6,26.1,24.9,MM,MM,MM,MM
2019 04 16 21 54,100,3.1,6.2,MM,MM,MM,MM,1018.5,25.6,24.9,MM,MM,MM,MM
2019 04 16 22 00,90,2.6,5.7,MM,MM,MM,MM,1018.5,25.4,24.9,MM,MM,-0.3,MM
2019 04 16 22 06,100,2.1,5.1,MM,MM,MM,MM,1018.5,25.3,24.9,MM,MM,MM,MM
2019 04 16 22 12,100,3.1,5.7,MM,MM,MM,MM,1018.4,25.8,25,MM,MM,MM,MM
2019 04 16 22 18,100,2.6,5.1,MM,MM,MM,MM,1018.4,25.6,25,MM,MM,MM,MM
2019 04 16 22 24,100,2.6,5.1,MM,MM,MM,MM,1018.4,25.5,25,MM,MM,MM,MM
2019 04 16 22 30,120,3.6,5.7,MM,MM,MM,MM,1018.4,25.8,25,MM,MM,MM,MM
2019 04 16 22 36,100,3.6,6.2,MM,MM,MM,MM,1018.3,25.9,25,MM,MM,MM,MM
2019 04 16 22 42,110,4.6,6.7,MM,MM,MM,MM,1018.2,26.2,25.1,MM,MM,MM,MM
2019 04 16 22 48,100,3.6,5.7,MM,MM,MM,MM,1018.1,26,25.1,MM,MM,MM,MM
2019 04 16 22 54,100,3.6,5.7,MM,MM,MM,MM,1018.1,25.7,25.1,MM,MM,MM,MM
2019 04 16 23 00,100,3.1,5.1,MM,MM,MM,MM,1018.1,25.8,25.1,MM,MM,-0.9,MM
2019 04 16 23 06,90,2.6,5.1,MM,MM,MM,MM,1018,25.2,25.1,MM,MM,MM,MM
2019 04 16 23 12,90,1.5,4.1,MM,MM,MM,MM,1018,25.6,25.1,MM,MM,MM,MM
2019 04 16 23 18,100,2.6,4.6,MM,MM,MM,MM,1018,25.8,25.2,MM,MM,MM,MM
2019 04 16 23 24,90,1.5,3.6,MM,MM,MM,MM,1018,25.4,25.2,MM,MM,MM,MM
2019 04 16 23 30,70,2.6,5.1,MM,MM,MM,MM,1017.9,25,25.2,MM,MM,MM,MM
2019 04 16 23 36,30,3.6,4.1,MM,MM,MM,MM,1017.8,24.4,25.2,MM,MM,MM,MM
2019 04 16 23 42,30,3.6,5.1,MM,MM,MM,MM,1017.8,24,25.2,MM,MM,MM,MM
2019 04 16 23 48,20,3.1,4.1,MM,MM,MM,MM,1017.8,24,25.2,MM,MM,MM,MM
2019 04 16 23 54,20,3.6,4.1,MM,MM,MM,MM,1017.7,23.8,25.2,MM,MM,MM,MM
2019 04 17 00 00,30,3.6,4.6,MM,MM,MM,MM,1017.6,23.8,25.2,MM,MM,-1.3,MM
2019 04 17 00 06,40,3.6,5.7,MM,MM,MM,MM,1017.4,24,25.2,MM,MM,MM,MM
2019 04 17 00 12,40,4.1,5.1,MM,MM,MM,MM,1017.3,24.1,25.3,MM,MM,MM,MM
2019 04 17 00 18,40,3.6,5.1,MM,MM,MM,MM,1017.3,24,25.3,MM,MM,MM,MM
2019 04 17 00 24,60,3.6,6.2,MM,MM,MM,MM,1017.3,24.3,25.3,MM,MM,MM,MM
2019 04 17 00 30,40,4.1,5.1,MM,MM,MM,MM,1017.3,24.1,25.3,MM,MM,MM,MM
2019 04 17 00 36,50,3.6,6.2,MM,MM,MM,MM,1017.3,24.1,25.3,MM,MM,MM,MM
2019 04 17 00 42,40,4.1,6.2,MM,MM,MM,MM,1017.2,23.6,25.3,MM,MM,MM,MM
2019 04 17 00 48,50,3.6,5.1,MM,MM,MM,MM,1017.1,24.1,25.3,MM,MM,MM,MM
2019 04 17 00 54,30,4.6,5.7,MM,MM,MM,MM,1017.1,23.9,25.3,MM,MM,MM,MM
2019 04 17 01 00,40,4.1,5.1,MM,MM,MM,MM,1017.1,24,25.3,MM,MM,-1.4,MM
2019 04 17 01 06,50,4.6,5.1,MM,MM,MM,MM,1017,24.2,25.3,MM,MM,MM,MM
2019 04 17 01 12,40,4.1,6.2,MM,MM,MM,MM,1017,24.1,25.3,MM,MM,MM,MM
2019 04 17 01 18,50,3.6,5.1,MM,MM,MM,MM,1016.9,24.3,25.3,MM,MM,MM,MM
2019 04 17 01 24,40,3.6,5.7,MM,MM,MM,MM,1016.9,24.4,25.3,MM,MM,MM,MM
2019 04 17 01 30,20,4.1,5.7,MM,MM,MM,MM,1016.9,24.1,25.3,MM,MM,MM,MM
2019 04 17 01 36,360,4.6,6.2,MM,MM,MM,MM,1016.9,24,25.3,MM,MM,MM,MM
2019 04 17 01 42,10,4.1,6.2,MM,MM,MM,MM,1017,24,25.3,MM,MM,MM,MM
2019 04 17 01 48,20,3.6,5.1,MM,MM,MM,MM,1017,24.2,25.3,MM,MM,MM,MM
2019 04 17 01 54,20,4.6,6.7,MM,MM,MM,MM,1016.9,24.3,25.3,MM,MM,MM,MM
2019 04 17 02 00,20,4.1,5.7,MM,MM,MM,MM,1016.9,23.9,25.3,MM,MM,-1.2,MM
2019 04 17 02 06,20,3.6,5.1,MM,MM,MM,MM,1016.9,23.9,25.4,MM,MM,MM,MM
2019 04 17 02 12,40,4.6,5.7,MM,MM,MM,MM,1016.8,24.2,25.4,MM,MM,MM,MM
2019 04 17 02 18,60,4.6,6.7,MM,MM,MM,MM,1016.8,24.5,25.4,MM,MM,MM,MM
2019 04 17 02 24,50,5.7,6.7,MM,MM,MM,MM,1016.9,24.4,25.4,MM,MM,MM,MM
2019 04 17 02 30,70,3.1,7.2,MM,MM,MM,MM,1016.9,24.5,25.4,MM,MM,MM,MM
2019 04 17 02 36,100,2.1,5.7,MM,MM,MM,MM,1016.9,24.4,25.4,MM,MM,MM,MM
2019 04 17 02 42,100,2.1,5.1,MM,MM,MM,MM,1016.9,24.6,25.4,MM,MM,MM,MM
2019 04 17 02 48,100,2.1,4.6,MM,MM,MM,MM,1017,24.5,25.4,MM,MM,MM,MM
2019 04 17 02 54,90,2.1,5.1,MM,MM,MM,MM,1017,24.3,25.4,MM,MM,MM,MM
2019 04 17 03 00,20,4.6,6.2,MM,MM,MM,MM,1017.1,23.8,25.4,MM,MM,-0.5,MM
2019 04 17 03 06,60,3.6,5.1,MM,MM,MM,MM,1017.2,24,25.5,MM,MM,MM,MM
2019 04 17 03 12,40,4.6,5.7,MM,MM,MM,MM,1017.2,23.6,25.5,MM,MM,MM,MM
2019 04 17 03 18,70,5.1,7.7,MM,MM,MM,MM,1017.2,23.3,25.5,MM,MM,MM,MM
2019 04 17 03 24,50,4.1,6.7,MM,MM,MM,MM,1017.3,23.2,25.5,MM,MM,MM,MM
2019 04 17 03 30,70,2.6,4.6,MM,MM,MM,MM,1017.4,23.2,25.5,MM,MM,MM,MM
2019 04 17 03 36,90,2.1,4.6,MM,MM,MM,MM,1017.4,23.2,25.5,MM,MM,MM,MM
2019 04 17 03 42,90,3.6,5.1,MM,MM,MM,MM,1017.4,23.1,25.5,MM,MM,MM,MM
2019 04 17 03 48,80,4.1,6.7,MM,MM,MM,MM,1017.4,23.2,25.5,MM,MM,MM,MM
2019 04 17 03 54,90,2.1,4.1,MM,MM,MM,MM,1017.5,23.7,25.6,MM,MM,MM,MM
2019 04 17 04 00,90,2.1,5.7,MM,MM,MM,MM,1017.5,23.7,25.6,MM,MM,0.4,MM
2019 04 17 04 06,80,2.6,4.6,MM,MM,MM,MM,1017.5,24,25.6,MM,MM,MM,MM
2019 04 17 04 12,90,2.1,5.1,MM,MM,MM,MM,1017.6,23.9,25.6,MM,MM,MM,MM
2019 04 17 04 18,90,3.1,5.7,MM,MM,MM,MM,1017.6,23.8,25.6,MM,MM,MM,MM
2019 04 17 04 24,80,3.6,6.2,MM,MM,MM,MM,1017.6,23.6,25.6,MM,MM,MM,MM
2019 04 17 04 30,90,2.6,5.7,MM,MM,MM,MM,1017.6,23.9,25.6,MM,MM,MM,MM
2019 04 17 04 36,70,4.1,6.7,MM,MM,MM,MM,1017.7,23.8,25.6,MM,MM,MM,MM
2019 04 17 04 42,80,4.6,7.2,MM,MM,MM,MM,1017.8,23.8,25.6,MM,MM,MM,MM
2019 04 17 04 48,80,4.6,6.7,MM,MM,MM,MM,1017.9,23.7,25.6,MM,MM,MM,MM
2019 04 17 04 54,70,4.6,5.7,MM,MM,MM,MM,1017.9,23.8,25.6,MM,MM,MM,MM
2019 04 17 05 00,70,6.7,7.7,MM,MM,MM,MM,1018,23,25.6,MM,MM,1.1,MM
2019 04 17 05 06,70,4.6,7.2,MM,MM,MM,MM,1018.1,23.1,25.6,MM,MM,MM,MM
2019 04 17 05 12,70,4.1,5.1,MM,MM,MM,MM,1018.2,23.1,25.7,MM,MM,MM,MM
2019 04 17 05 18,80,4.6,5.7,MM,MM,MM,MM,1018.3,23.5,25.7,MM,MM,MM,MM
2019 04 17 05 24,80,3.1,5.1,MM,MM,MM,MM,1018.3,23.7,25.7,MM,MM,MM,MM
2019 04 17 05 30,90,3.1,5.1,MM,MM,MM,MM,1018.3,23.7,25.7,MM,MM,MM,MM
2019 04 17 05 36,80,2.6,5.1,MM,MM,MM,MM,1018.4,23.7,25.7,MM,MM,MM,MM
2019 04 17 05 42,90,2.6,5.7,MM,MM,MM,MM,1018.4,23.8,25.7,MM,MM,MM,MM
2019 04 17 05 48,80,4.1,6.2,MM,MM,MM,MM,1018.5,23.8,25.7,MM,MM,MM,MM
2019 04 17 05 54,90,3.6,7.7,MM,MM,MM,MM,1018.5,24,25.7,MM,MM,MM,MM
2019 04 17 06 00,90,2.6,5.1,MM,MM,MM,MM,1018.6,24,25.7,MM,MM,1.5,MM
2019 04 17 06 06,100,2.6,6.2,MM,MM,MM,MM,1018.6,23.9,25.7,MM,MM,MM,MM
2019 04 17 06 12,100,3.1,6.7,MM,MM,MM,MM,1018.7,23.9,25.7,MM,MM,MM,MM
2019 04 17 06 18,90,2.6,6.7,MM,MM,MM,MM,1018.7,23.9,25.7,MM,MM,MM,MM
2019 04 17 06 24,90,2.1,4.6,MM,MM,MM,MM,1018.7,23.9,25.7,MM,MM,MM,MM
2019 04 17 06 30,100,2.1,5.1,MM,MM,MM,MM,1018.9,23.9,25.7,MM,MM,MM,MM
2019 04 17 06 36,90,3.1,6.7,MM,MM,MM,MM,1018.9,23.9,25.7,MM,MM,MM,MM
2019 04 17 06 42,80,3.6,6.2,MM,MM,MM,MM,1018.9,24,25.7,MM,MM,MM,MM
2019 04 17 06 48,80,4.1,5.7,MM,MM,MM,MM,1018.9,23.9,25.7,MM,MM,MM,MM
2019 04 17 06 54,90,3.6,6.2,MM,MM,MM,MM,1018.9,23.8,25.7,MM,MM,MM,MM
2019 04 17 07 00,90,4.1,6.7,MM,MM,MM,MM,1019,24,25.7,MM,MM,1.5,MM
2019 04 17 07 06,90,4.1,6.2,MM,MM,MM,MM,1019.1,24,25.7,MM,MM,MM,MM
2019 04 17 07 12,90,3.1,6.2,MM,MM,MM,MM,1019.1,23.9,25.7,MM,MM,MM,MM
2019 04 17 07 18,90,2.6,5.1,MM,MM,MM,MM,1019.2,24.1,25.7,MM,MM,MM,MM
2019 04 17 07 24,90,3.6,5.7,MM,MM,MM,MM,1019.2,23.9,25.7,MM,MM,MM,MM
2019 04 17 07 30,90,3.1,7.7,MM,MM,MM,MM,1019.2,23.4,25.7,MM,MM,MM,MM
2019 04 17 07 36,90,2.6,5.7,MM,MM,MM,MM,1019.2,23.7,25.7,MM,MM,MM,MM
2019 04 17 07 42,90,3.1,5.7,MM,MM,MM,MM,1019.4,23.4,25.7,MM,MM,MM,MM
2019 04 17 07 48,90,3.1,5.7,MM,MM,MM,MM,1019.4,23.5,25.7,MM,MM,MM,MM
2019 04 17 07 54,100,3.1,6.7,MM,MM,MM,MM,1019.4,23.6,25.7,MM,MM,MM,MM
2019 04 17 08 00,100,3.6,6.2,MM,MM,MM,MM,1019.4,23.6,25.7,MM,MM,1.4,MM
2019 04 17 08 06,90,3.1,6.2,MM,MM,MM,MM,1019.4,23.6,25.7,MM,MM,MM,MM
2019 04 17 08 12,100,2.6,6.2,MM,MM,MM,MM,1019.5,23.5,25.7,MM,MM,MM,MM
2019 04 17 08 18,90,2.1,5.1,MM,MM,MM,MM,1019.5,23.6,25.7,MM,MM,MM,MM
2019 04 17 08 24,90,2.1,4.6,MM,MM,MM,MM,1019.5,23.5,25.7,MM,MM,MM,MM
2019 04 17 08 30,90,2.1,5.1,MM,MM,MM,MM,1019.5,23.6,25.7,MM,MM,MM,MM
2019 04 17 08 36,90,2.6,4.6,MM,MM,MM,MM,1019.4,23.6,25.7,MM,MM,MM,MM
2019 04 17 08 42,90,1.5,5.7,MM,MM,MM,MM,1019.4,23.6,25.7,MM,MM,MM,MM
2019 04 17 08 48,90,1.5,4.6,MM,MM,MM,MM,1019.5,23.6,25.7,MM,MM,MM,MM
2019 04 17 08 54,100,2.1,4.1,MM,MM,MM,MM,1019.5,23.7,25.7,MM,MM,MM,MM
2019 04 17 09 00,90,2.1,3.6,MM,MM,MM,MM,1019.6,23.7,25.7,MM,MM,1,MM
2019 04 17 09 06,90,2.1,4.1,MM,MM,MM,MM,1019.7,23.7,25.7,MM,MM,MM,MM
2019 04 17 09 12,100,1.5,3.6,MM,MM,MM,MM,1019.6,23.8,25.7,MM,MM,MM,MM
2019 04 17 09 18,80,3.1,4.6,MM,MM,MM,MM,1019.6,23.7,25.7,MM,MM,MM,MM
2019 04 17 09 24,90,2.6,4.1,MM,MM,MM,MM,1019.6,23.8,25.7,MM,MM,MM,MM
2019 04 17 09 30,60,3.6,5.1,MM,MM,MM,MM,1019.6,23.8,25.7,MM,MM,MM,MM
2019 04 17 09 36,90,2.6,5.1,MM,MM,MM,MM,1019.6,23.8,25.7,MM,MM,MM,MM
2019 04 17 09 42,70,3.1,4.1,MM,MM,MM,MM,1019.5,23.8,25.7,MM,MM,MM,MM
2019 04 17 09 48,70,3.1,4.1,MM,MM,MM,MM,1019.5,23.9,25.7,MM,MM,MM,MM
2019 04 17 09 54,70,3.1,5.7,MM,MM,MM,MM,1019.5,23.8,25.7,MM,MM,MM,MM
2019 04 17 10 00,70,3.6,4.6,MM,MM,MM,MM,1019.4,23.9,25.7,MM,MM,0.4,MM
2019 04 17 10 06,70,3.1,4.6,MM,MM,MM,MM,1019.3,23.9,25.7,MM,MM,MM,MM
2019 04 17 10 12,70,4.1,5.7,MM,MM,MM,MM,1019.2,23.7,25.7,MM,MM,MM,MM
2019 04 17 10 18,70,4.6,5.7,MM,MM,MM,MM,1019.1,23.8,25.7,MM,MM,MM,MM
2019 04 17 10 24,70,4.1,5.7,MM,MM,MM,MM,1019,23.9,25.7,MM,MM,MM,MM
2019 04 17 10 30,70,4.6,5.7,MM,MM,MM,MM,1019,24,25.7,MM,MM,MM,MM
2019 04 17 10 36,70,3.6,5.1,MM,MM,MM,MM,1019,23.8,25.7,MM,MM,MM,MM
2019 04 17 10 42,90,3.1,5.7,MM,MM,MM,MM,1018.8,23.8,25.7,MM,MM,MM,MM
2019 04 17 10 48,90,1.5,5.7,MM,MM,MM,MM,1018.7,24,25.7,MM,MM,MM,MM
2019 04 17 10 54,90,3.1,5.7,MM,MM,MM,MM,1018.6,23.8,25.7,MM,MM,MM,MM
2019 04 17 11 00,100,2.1,5.7,MM,MM,MM,MM,1018.5,24,25.7,MM,MM,-0.9,MM
2019 04 17 11 06,80,5.7,7.2,MM,MM,MM,MM,1018.3,23.8,25.7,MM,MM,MM,MM
2019 04 17 11 12,90,2.6,5.1,MM,MM,MM,MM,1018.3,24,25.7,MM,MM,MM,MM
2019 04 17 11 18,80,4.1,6.2,MM,MM,MM,MM,1018.2,23.7,25.7,MM,MM,MM,MM
2019 04 17 11 24,90,3.1,5.7,MM,MM,MM,MM,1018.1,23.8,25.7,MM,MM,MM,MM
2019 04 17 11 30,90,3.6,6.7,MM,MM,MM,MM,1018.1,23.8,25.7,MM,MM,MM,MM
2019 04 17 11 36,90,2.6,5.1,MM,MM,MM,MM,1018,23.9,25.7,MM,MM,MM,MM
2019 04 17 11 42,90,2.6,6.2,MM,MM,MM,MM,1018,24,25.6,MM,MM,MM,MM
2019 04 17 11 48,90,3.6,6.2,MM,MM,MM,MM,1018,23.8,25.6,MM,MM,MM,MM
2019 04 17 11 54,90,3.6,5.7,MM,MM,MM,MM,1018,23.9,25.6,MM,MM,MM,MM
2019 04 17 12 00,90,2.6,5.7,MM,MM,MM,MM,1017.9,23.9,25.6,MM,MM,-1.7,MM
2019 04 17 12 06,70,3.6,6.2,MM,MM,MM,MM,1017.9,23.9,25.6,MM,MM,MM,MM
2019 04 17 12 12,80,3.1,5.7,MM,MM,MM,MM,1017.8,23.9,25.6,MM,MM,MM,MM
2019 04 17 12 18,80,4.6,6.2,MM,MM,MM,MM,1017.8,23.8,25.6,MM,MM,MM,MM
2019 04 17 12 24,90,2.1,5.1,MM,MM,MM,MM,1017.7,23.9,25.6,MM,MM,MM,MM
2019 04 17 12 30,80,4.1,6.2,MM,MM,MM,MM,1017.6,23.8,25.6,MM,MM,MM,MM
2019 04 17 12 36,100,2.1,6.2,MM,MM,MM,MM,1017.6,23.9,25.6,MM,MM,MM,MM
2019 04 17 12 42,90,2.6,5.7,MM,MM,MM,MM,1017.6,23.8,25.6,MM,MM,MM,MM
2019 04 17 12 48,90,2.6,4.6,MM,MM,MM,MM,1017.6,23.8,25.6,MM,MM,MM,MM
2019 04 17 12 54,80,3.6,6.7,MM,MM,MM,MM,1017.5,23.8,25.6,MM,MM,MM,MM
2019 04 17 13 00,80,5.7,7.2,MM,MM,MM,MM,1017.5,23.8,25.6,MM,MM,-1.9,MM
2019 04 17 13 06,80,4.1,6.7,MM,MM,MM,MM,1017.5,23.8,25.6,MM,MM,MM,MM
2019 04 17 13 12,90,3.6,5.7,MM,MM,MM,MM,1017.4,23.7,25.6,MM,MM,MM,MM
2019 04 17 13 18,90,2.6,5.1,MM,MM,MM,MM,1017.3,23.8,25.6,MM,MM,MM,MM
2019 04 17 13 24,90,2.1,6.7,MM,MM,MM,MM,1017.3,23.9,25.6,MM,MM,MM,MM
2019 04 17 13 30,90,3.6,6.2,MM,MM,MM,MM,1017.3,23.7,25.6,MM,MM,MM,MM
2019 04 17 13 36,90,2.6,5.1,MM,MM,MM,MM,1017.3,23.7,25.6,MM,MM,MM,MM
2019 04 17 13 42,80,4.1,5.7,MM,MM,MM,MM,1017.3,23.8,25.6,MM,MM,MM,MM
2019 04 17 13 48,80,3.1,5.7,MM,MM,MM,MM,1017.2,23.8,25.6,MM,MM,MM,MM
2019 04 17 13 54,80,3.6,5.7,MM,MM,MM,MM,1017.2,23.7,25.6,MM,MM,MM,MM
2019 04 17 14 00,80,3.6,6.2,MM,MM,MM,MM,1017.3,23.8,25.6,MM,MM,-1.2,MM
2019 04 17 14 06,90,2.6,5.7,MM,MM,MM,MM,1017.3,23.8,25.6,MM,MM,MM,MM
2019 04 17 14 12,90,2.6,4.6,MM,MM,MM,MM,1017.3,23.8,25.6,MM,MM,MM,MM
2019 04 17 14 18,100,2.1,4.6,MM,MM,MM,MM,1017.4,23.9,25.6,MM,MM,MM,MM
2019 04 17 14 24,90,3.1,5.7,MM,MM,MM,MM,1017.4,23.5,25.6,MM,MM,MM,MM
2019 04 17 14 30,90,2.6,6.7,MM,MM,MM,MM,1017.5,23.6,25.6,MM,MM,MM,MM
2019 04 17 14 36,80,3.6,6.2,MM,MM,MM,MM,1017.5,23.7,25.6,MM,MM,MM,MM
2019 04 17 14 42,80,3.6,6.2,MM,MM,MM,MM,1017.6,23.7,25.6,MM,MM,MM,MM
2019 04 17 14 48,80,3.1,5.1,MM,MM,MM,MM,1017.6,23.7,25.6,MM,MM,MM,MM
2019 04 17 14 54,80,3.6,5.7,MM,MM,MM,MM,1017.6,23.6,25.6,MM,MM,MM,MM
2019 04 17 15 00,80,4.1,5.1,MM,MM,MM,MM,1017.6,23.6,25.6,MM,MM,-0.3,MM
2019 04 17 15 06,90,3.6,7.2,MM,MM,MM,MM,1017.6,23.7,25.6,MM,MM,MM,MM
2019 04 17 15 12,90,2.1,5.1,MM,MM,MM,MM,1017.7,23.7,25.6,MM,MM,MM,MM
2019 04 17 15 18,90,2.1,4.6,MM,MM,MM,MM,1017.8,23.5,25.6,MM,MM,MM,MM
2019 04 17 15 24,90,1,3.1,MM,MM,MM,MM,1017.8,23.5,25.6,MM,MM,MM,MM
2019 04 17 15 30,100,1,4.6,MM,MM,MM,MM,1017.8,23.6,25.6,MM,MM,MM,MM
2019 04 17 15 36,90,4.1,5.7,MM,MM,MM,MM,1017.9,23.6,25.6,MM,MM,MM,MM
2019 04 17 15 42,80,3.6,5.7,MM,MM,MM,MM,1017.9,23.4,25.6,MM,MM,MM,MM
2019 04 17 15 48,80,4.1,6.2,MM,MM,MM,MM,1017.9,23.1,25.5,MM,MM,MM,MM
2019 04 17 15 54,80,3.1,5.7,MM,MM,MM,MM,1018,23.3,25.5,MM,MM,MM,MM
2019 04 17 16 00,70,4.1,6.2,MM,MM,MM,MM,1018,23.3,25.5,MM,MM,0.5,MM
2019 04 17 16 06,80,4.6,7.2,MM,MM,MM,MM,1018.2,23.3,25.5,MM,MM,MM,MM
2019 04 17 16 12,80,6.2,8.2,MM,MM,MM,MM,1018.3,23.2,25.5,MM,MM,MM,MM
2019 04 17 16 18,90,3.1,8.8,MM,MM,MM,MM,1018.4,22.7,25.5,MM,MM,MM,MM
2019 04 17 16 24,90,2.6,6.2,MM,MM,MM,MM,1018.5,22.7,25.5,MM,MM,MM,MM
2019 04 17 16 30,80,4.1,6.2,MM,MM,MM,MM,1018.5,22.6,25.5,MM,MM,MM,MM
2019 04 17 16 36,70,4.6,6.2,MM,MM,MM,MM,1018.6,23.1,25.5,MM,MM,MM,MM
2019 04 17 16 42,90,2.6,6.2,MM,MM,MM,MM,1018.6,23.2,25.5,MM,MM,MM,MM
2019 04 17 16 48,90,3.6,6.7,MM,MM,MM,MM,1018.7,23.1,25.5,MM,MM,MM,MM
2019 04 17 16 54,90,2.6,5.7,MM,MM,MM,MM,1018.8,23.3,25.5,MM,MM,MM,MM
2019 04 17 17 00,90,3.1,6.2,MM,MM,MM,MM,1018.9,23.2,25.5,MM,MM,1.6,MM
2019 04 17 17 06,90,2.1,4.6,MM,MM,MM,MM,1018.9,23.4,25.5,MM,MM,MM,MM
2019 04 17 17 12,80,4.1,6.2,MM,MM,MM,MM,1019,23.5,25.5,MM,MM,MM,MM
2019 04 17 17 18,90,2.1,5.1,MM,MM,MM,MM,1019.1,23.9,25.5,MM,MM,MM,MM
2019 04 17 17 24,80,4.6,6.2,MM,MM,MM,MM,1019.1,23.6,25.5,MM,MM,MM,MM
2019 04 17 17 30,80,4.1,6.7,MM,MM,MM,MM,1019.1,23.7,25.5,MM,MM,MM,MM
2019 04 17 17 36,80,3.6,6.7,MM,MM,MM,MM,1019.2,23.9,25.5,MM,MM,MM,MM
2019 04 17 17 42,70,4.1,6.2,MM,MM,MM,MM,1019.3,23.7,25.5,MM,MM,MM,MM
2019 04 17 17 48,80,4.1,6.7,MM,MM,MM,MM,1019.3,24.1,25.5,MM,MM,MM,MM
2019 04 17 17 54,80,5.7,7.7,MM,MM,MM,MM,1019.3,24.1,25.5,MM,MM,MM,MM
2019 04 17 18 00,80,3.6,6.2,MM,MM,MM,MM,1019.4,23.8,25.5,MM,MM,1.8,MM
2019 04 17 18 06,80,5.1,7.2,MM,MM,MM,MM,1019.4,24.2,25.5,MM,MM,MM,MM
2019 04 17 18 12,80,6.2,8.8,MM,MM,MM,MM,1019.5,24.3,25.5,MM,MM,MM,MM
2019 04 17 18 18,90,4.1,8.2,MM,MM,MM,MM,1019.5,24.6,25.5,MM,MM,MM,MM
2019 04 17 18 24,90,4.1,7.2,MM,MM,MM,MM,1019.6,24.4,25.5,MM,MM,MM,MM
2019 04 17 18 30,90,4.1,7.2,MM,MM,MM,MM,1019.6,24.4,25.5,MM,MM,MM,MM
2019 04 17 18 36,90,4.1,6.7,MM,MM,MM,MM,1019.7,24.7,25.5,MM,MM,MM,MM
2019 04 17 18 42,90,3.1,6.2,MM,MM,MM,MM,1019.7,24.9,25.5,MM,MM,MM,MM
2019 04 17 18 48,100,3.6,6.7,MM,MM,MM,MM,1019.8,24.6,25.5,MM,MM,MM,MM
2019 04 17 18 54,90,3.6,7.7,MM,MM,MM,MM,1019.9,24.8,25.5,MM,MM,MM,MM
2019 04 17 19 00,100,3.1,6.2,MM,MM,MM,MM,1019.9,24.9,25.5,MM,MM,1.9,MM
2019 04 17 19 06,100,4.6,8.2,MM,MM,MM,MM,1019.9,25,25.5,MM,MM,MM,MM
2019 04 17 19 12,90,3.6,7.2,MM,MM,MM,MM,1020,25.1,25.5,MM,MM,MM,MM
2019 04 17 19 18,100,4.1,7.2,MM,MM,MM,MM,1020,25.5,25.5,MM,MM,MM,MM
2019 04 17 19 24,90,4.6,7.2,MM,MM,MM,MM,1020,24.9,25.5,MM,MM,MM,MM
2019 04 17 19 30,90,4.1,6.2,MM,MM,MM,MM,1020.1,25,25.5,MM,MM,MM,MM
2019 04 17 19 36,90,4.1,7.7,MM,MM,MM,MM,1020.1,24.7,25.5,MM,MM,MM,MM
2019 04 17 19 42,90,3.1,7.2,MM,MM,MM,MM,1020.1,24.9,25.5,MM,MM,MM,MM
2019 04 17 19 48,100,2.6,7.7,MM,MM,MM,MM,1020.1,25.3,25.5,MM,MM,MM,MM
2019 04 17 19 54,100,3.1,7.7,MM,MM,MM,MM,1020.1,25.4,25.5,MM,MM,MM,MM
2019 04 17 20 00,90,2.6,5.7,MM,MM,MM,MM,1020.2,25.3,25.5,MM,MM,1.3,MM
2019 04 17 20 06,90,3.6,8.2,MM,MM,MM,MM,1020.2,24.9,25.5,MM,MM,MM,MM
2019 04 17 20 12,80,5.7,7.7,MM,MM,MM,MM,1020.2,24.8,25.5,MM,MM,MM,MM
2019 04 17 20 18,100,3.1,6.2,MM,MM,MM,MM,1020.2,25.8,25.5,MM,MM,MM,MM
2019 04 17 20 24,90,3.6,7.2,MM,MM,MM,MM,1020.1,24.7,25.5,MM,MM,MM,MM
2019 04 17 20 30,90,4.1,7.2,MM,MM,MM,MM,1020.1,24.8,25.5,MM,MM,MM,MM
2019 04 17 20 36,80,5.1,7.7,MM,MM,MM,MM,1020.1,24.6,25.5,MM,MM,MM,MM
2019 04 17 20 42,80,5.1,6.7,MM,MM,MM,MM,1020.1,24.6,25.5,MM,MM,MM,MM
2019 04 17 20 48,80,4.6,7.7,MM,MM,MM,MM,1020.1,24.7,25.5,MM,MM,MM,MM
2019 04 17 20 54,90,4.6,6.7,MM,MM,MM,MM,1020.1,24.6,25.5,MM,MM,MM,MM
2019 04 17 21 00,90,4.1,6.7,MM,MM,MM,MM,1020.1,25.1,25.5,MM,MM,0.7,MM
